repo,sha,status,n_gt_imported,n_gt_impT,n_gt_all,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
go-playground__webhooks,02d182ac47693b5f7263de2ba7bd46607c80aed8,OK,1,5,7,6,5,1,1,0,0,""
pancsta__asyncmachine-go,c5987e0f7e3df7aa0da57e74b4d831b2bde1da3c,OK,232,270,551,359,320,255,251,0,0,""
MarvinJWendt__testza,3fab8a745e09d74abd1694e2c85880d2528e2500,OK,16,16,28,19,16,16,16,0,0,""
ajvb__kala,4eb4f7ae04346e0f6ba92d0c63a619ca9c59559c,OK,41,50,234,76,234,41,44,0,0,""
cabify__timex,9b786c3d592fa976ac5fc0ba7861322d0e9b6f29,OK,5,5,6,6,6,5,4,0,0,""
huandu__go-sqlbuilder,345b646003cea85d5e86a54bd78d25c54f82f0e7,OK,2,4,9,4,4,2,2,0,0,""
jexia__semaphore,182a82a458f989999543cc7ed56d9372b1e81691,OK,47,52,230,98,231,63,55,0,0,""
napalu__goopt,f0eb55e26ae034ec193b15948f58704ee44c00ba,OK,7,11,19,27,26,9,7,0,0,""
didip__tollbooth,458a30971b92eab692e2c5c002235426fabc94b8,OK,1,1,6,6,6,1,1,0,0,""
szyhf__go-excel,098cb67b11d77582fe7224a89388916fd28d5707,OK,1,1,1,1,1,1,1,0,0,""
pebbe__textcat,f236d69afd14e7bf1645cd56ba417db11aebf8ef,OK,1,1,1,2,2,1,1,0,0,""
gabrie30__ghorg,7b814d82431c8d293c4cf0322f140f030524b90a,OK,53,53,94,73,61,55,55,0,0,""
HazelnutParadise__insyra,36f3d621e92f8df326c61632f9393d16ce441578,OK,128,134,517,196,148,128,134,0,0,""
jfcg__sorty,0be58083f3e70d0864eb7ce8dc35196e8f5ee259,OK,1,2,3,3,3,1,1,0,0,""
jf-tech__omniparser,d4371ab77afacd626b21d925e0e5b7989298e847,OK,21,24,126,29,126,21,22,0,0,""
ipfs__kubo,d07245b6f5443a0369299d07c8aac64967d04978,OK,255,260,585,470,435,262,259,0,0,""
neuronlabs__errors,8a0fb4eedd6023253516761436a85db1b57ce8fd,OK,1,4,5,4,5,1,1,0,0,""
ansd__lastpass-go,280cc13dd33a804103c44d9b9557e03c30ccf692,OK,1,10,34,11,34,1,1,0,0,""
julienschmidt__go-http-routing-benchmark,d8f3b858995830fc29e26206d7d4d97ece34528c,OK,82,82,134,98,134,82,86,0,0,""
cabify__gotoprom,41afc5d4ea32b19c264ca50dd007c9c22c3fdc5b,OK,10,15,48,20,48,10,10,0,0,""
xwjdsh__awesome-go-extra,b47d586f1a6ba69ad08c54cc83e6bb5d8bf892c2,OK,9,9,94,22,94,9,9,0,0,""
kelindar__tile,c3a5eaf85efd7cba577946b838ac60f802a6e33f,OK,2,6,8,7,6,2,2,0,0,""
krotik__dudeldu,154b491ed4993d4a220ef4d752c201c556e7eb60,OK,1,1,1,1,1,1,1,0,0,""
ip2location__ip2location-io-go,228eff87896cb33e297c5025bb27139c77eab230,OK,2,2,6,2,2,2,2,0,0,""
taskctl__taskctl,e77ca83f638d83d8b2bc9df0487f0976453ad73f,OK,40,40,63,54,41,40,41,0,0,""
