repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_gosum_only,fp_sibling
sdrapkin__guid,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
tuupola__branca-spec,TIMEOUT_OR_EMPTY
txn2__kubefwd,syft,139,2,58,105,36,0,105,36,0,139,2,58,105,36,0,105,36,0,0,3,0,8,23,2
txn2__kubefwd,trivy,116,3,81,105,14,0,105,14,0,116,3,81,105,14,0,105,14,0,0,3,0,8,0,3
txn2__kubefwd,cdxgen,105,2,92,105,2,0,105,2,0,105,2,92,105,2,0,105,2,0,0,0,0,0,0,2
txn2__kubefwd,cyclonedx-gomod,115,0,82,104,11,1,104,11,1,115,0,82,104,11,1,104,11,1,0,3,0,8,0,0
uber-go__fx,syft,13,6,2,4,15,0,9,10,0,12,9,3,4,17,0,9,12,0,5,0,0,0,4,6
uber-go__fx,trivy,10,5,5,4,11,0,9,6,0,9,7,6,4,12,0,9,7,0,5,0,0,0,1,5
uber-go__fx,cdxgen,9,2,6,4,7,0,8,3,1,8,3,7,4,7,0,8,3,1,4,0,0,0,1,2
uber-go__fx,cyclonedx-gomod,4,0,11,4,0,0,4,0,5,4,0,11,4,0,0,4,0,5,0,0,0,0,0,0
ulikunitz__xz,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ulikunitz__xz,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ulikunitz__xz,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ulikunitz__xz,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
woodpecker-ci__woodpecker,syft,278,0,135,201,77,0,206,72,0,278,0,135,201,77,0,206,72,0,5,4,2,27,39,0
woodpecker-ci__woodpecker,trivy,239,0,174,201,38,0,206,33,0,239,0,174,201,38,0,206,33,0,5,4,2,27,0,0
woodpecker-ci__woodpecker,cdxgen,239,0,174,201,38,0,206,33,0,239,0,174,201,38,0,206,33,0,5,4,2,27,0,0
woodpecker-ci__woodpecker,cyclonedx-gomod,228,0,185,199,29,2,199,29,7,228,0,185,199,29,2,199,29,7,0,4,2,23,0,0
xaionaro-go__secureio,syft,22,0,8,14,8,0,20,2,0,22,0,8,14,8,0,20,2,0,6,0,1,0,1,0
xaionaro-go__secureio,trivy,30,0,0,14,16,0,20,10,0,30,0,0,14,16,0,20,10,0,6,0,1,0,9,0
xaionaro-go__secureio,cdxgen,14,0,16,14,0,0,14,0,6,14,0,16,14,0,0,14,0,6,0,0,0,0,0,0
xaionaro-go__secureio,cyclonedx-gomod,14,0,16,14,0,0,14,0,6,14,0,16,14,0,0,14,0,6,0,0,0,0,0,0
xis__baraka,TIMEOUT_OR_EMPTY
