repo,tool,july,scorer_main,scorer_main_empty,verdict
Fs02__go-todo-backend,trivy,17/0/34/16/1/0/17/0/0,17/0/34/16/1/0/17/0/0,,match
Fs02__go-todo-backend,cdxgen,17/0/34/16/1/0/17/0/0,17/0/34/16/1/0/17/0/0,,match
Fs02__go-todo-backend,cyclonedx-gomod,15/0/36/15/0/1/15/0/2,15/0/36/15/0/1/15/0/2,,match
Fs02__grimoire,syft,12/0/0/11/1/0/12/0/0,12/0/0/11/1/0/12/0/0,,match
Fs02__grimoire,trivy,12/0/0/11/1/0/12/0/0,12/0/0/11/1/0/12/0/0,,match
Fs02__grimoire,cdxgen,11/0/1/11/0/0/11/0/1,11/0/1/11/0/0/11/0/1,,match
Fs02__grimoire,cyclonedx-gomod,11/0/1/11/0/0/11/0/1,11/0/1/11/0/0/11/0/1,,match
GiGurra__boa,syft,3/0/4/2/1/0/2/1/0,3/0/4/2/1/0/2/1/0,,match
GiGurra__boa,trivy,3/0/4/2/1/0/2/1/0,3/0/4/2/1/0/2/1/0,,match
GiGurra__boa,cdxgen,2/0/5/2/0/0/2/0/0,2/0/5/2/0/0/2/0/0,,match
GiGurra__boa,cyclonedx-gomod,3/0/4/2/1/0/2/1/0,3/0/4/2/1/0/2/1/0,,match
Gituser143__cryptgo,syft,38/0/145/26/12/0/26/12/0,38/0/145/26/12/0/26/12/0,,match
Gituser143__cryptgo,trivy,183/0/0/26/157/0/26/157/0,183/0/0/26/157/0/26/157/0,,match
Gituser143__cryptgo,cdxgen,26/0/157/26/0/0/26/0/0,26/0/157/26/0/0/26/0/0,,match
Gituser143__cryptgo,cyclonedx-gomod,27/0/156/26/1/0/26/1/0,27/0/156/26/1/0/26/1/0,,match
GoogleCloudPlatform__gcloud-golang,syft,185/146/11/31/300/0/47/284/0,185/146/11/31/300/0/47/284/0,,match
GoogleCloudPlatform__gcloud-golang,trivy,174/137/22/31/280/0/47/264/0,174/137/22/31/280/0/47/264/0,,match
GoogleCloudPlatform__gcloud-golang,cdxgen,64/47/132/31/80/0/47/64/0,64/47/132/31/80/0/47/64/0,,match
GoogleCloudPlatform__gcloud-golang,cyclonedx-gomod,30/0/166/30/0/1/30/0/17,30/0/166/30/0/1/30/0/17,,match
GuilhermeCaruso__anko,syft,5/1/9/3/3/0/3/3/0,5/1/9/3/3/0/3/3/0,,match
GuilhermeCaruso__anko,trivy,14/2/0/3/13/0/3/13/0,14/2/0/3/13/0/3/13/0,,match
GuilhermeCaruso__anko,cdxgen,3/0/11/3/0/0/3/0/0,3/0/11/3/0/0/3/0/0,,match
GuilhermeCaruso__anko,cyclonedx-gomod,3/0/11/3/0/0/3/0/0,3/0/11/3/0/0/3/0/0,,match
GuilhermeCaruso__mooncake,syft,5/0/5/4/1/0/4/1/0,5/0/5/4/1/0/4/1/0,,match
GuilhermeCaruso__mooncake,trivy,4/0/6/4/0/0/4/0/0,4/0/6/4/0/0/4/0/0,,match
GuilhermeCaruso__mooncake,cdxgen,4/0/6/4/0/0/4/0/0,4/0/6/4/0/0/4/0/0,,match
GuilhermeCaruso__mooncake,cyclonedx-gomod,4/0/6/4/0/0/4/0/0,4/0/6/4/0/0/4/0/0,,match
Guitarbum722__align,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Guitarbum722__align,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Guitarbum722__align,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Guitarbum722__align,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
HDT3213__rdb,syft,12/0/6/7/5/0/7/5/0,12/0/6/7/5/0/7/5/0,,match
HDT3213__rdb,trivy,8/0/10/7/1/0/7/1/0,8/0/10/7/1/0/7/1/0,,match
HDT3213__rdb,cdxgen,7/0/11/7/0/0/7/0/0,7/0/11/7/0/0/7/0/0,,match
HDT3213__rdb,cyclonedx-gomod,8/0/10/7/1/0/7/1/0,8/0/10/7/1/0/7/1/0,,match
Haraj-backend__hex-monscape,syft,28/0/25/16/12/0/20/8/0,28/0/25/16/12/0/20/8/0,,match
Haraj-backend__hex-monscape,trivy,22/0/31/16/6/0/20/2/0,22/0/31/16/6/0/20/2/0,,match
Haraj-backend__hex-monscape,cdxgen,16/0/37/16/0/0/16/0/4,16/0/37/16/0/0/16/0/4,,match
