module,syft,trivy,cdxgen,cyclonedx-gomod,total
github.com/bytedance/gopkg,3,3,0,0,6
github.com/gabriel-vasile/mimetype,2,2,2,0,6
github.com/munnerz/goautoneg,3,2,1,0,6
github.com/containerd/containerd,4,2,0,0,6
github.com/hashicorp/go-version,4,2,0,0,6
github.com/ajg/form,2,2,2,0,6
github.com/go-chi/render,2,2,2,0,6
cloud.google.com/go/compute/metadata,3,2,1,0,6
github.com/brianvoe/gofakeit/v6,3,2,1,0,6
github.com/nats-io/nats.go,2,3,1,0,6
github.com/nats-io/nkeys,2,3,1,0,6
github.com/nats-io/nuid,2,3,1,0,6
gopkg.in/alexcesaro/quotedprintable.v3,2,2,0,2,6
github.com/kballard/go-shellquote,2,3,0,1,6
github.com/ory/dockertest/v3,3,2,1,0,6
github.com/ianlancetaylor/demangle,0,6,0,0,6
github.com/ugorji/go,0,6,0,0,6
github.com/aws/aws-lambda-go,2,2,1,1,6
go.opentelemetry.io/otel/exporters/stdout/stdouttrace,2,2,2,0,6
github.com/bahlo/generic-list-go,2,2,2,0,6
github.com/invopop/jsonschema,2,2,2,0,6
github.com/wk8/go-ordered-map/v2,2,2,2,0,6
github.com/joshdk/go-junit,5,0,0,0,5
github.com/mfridman/tparse,5,0,0,0,5
github.com/rs/cors,2,2,1,0,5
github.com/vmihailenco/msgpack/v5,2,2,1,0,5
github.com/vmihailenco/tagparser/v2,2,2,1,0,5
github.com/testcontainers/testcontainers-go/modules/postgres,3,2,0,0,5
github.com/armon/consul-api,0,5,0,0,5
github.com/coreos/etcd,0,5,0,0,5
github.com/openzipkin/zipkin-go,0,5,0,0,5
github.com/xordataexchange/crypt,0,5,0,0,5
github.com/azure/azure-sdk-for-go/sdk/azidentity,5,0,0,0,5
github.com/azure/azure-sdk-for-go/sdk/security/keyvault/internal,5,0,0,0,5
github.com/azuread/microsoft-authentication-library-for-go,5,0,0,0,5
cloud.google.com/go/kms,4,1,0,0,5
cloud.google.com/go/trace,3,1,1,0,5
github.com/azure/azure-sdk-for-go/sdk/azidentity/cache,5,0,0,0,5
github.com/azuread/microsoft-authentication-extensions-for-go/cache,5,0,0,0,5
github.com/philhofer/fwd,2,2,1,0,5
github.com/tinylib/msgp,2,2,1,0,5
go.einride.tech/aip,3,1,1,0,5
gopkg.in/natefinch/npipe.v2,2,2,0,1,5
github.com/ziutek/mymysql,2,3,0,0,5
github.com/elazarl/goproxy,5,0,0,0,5
github.com/go-git/go-git-fixtures/v4,5,0,0,0,5
github.com/dave/jennifer,2,1,1,1,5
github.com/microsoft/go-mssqldb,3,2,0,0,5
gorm.io/driver/sqlserver,3,2,0,0,5
dmitri.shuralyov.com/gpu/mtl,0,5,0,0,5
github.com/armon/go-metrics,2,3,0,0,5
github.com/go-gl/glfw,0,5,0,0,5
github.com/hashicorp/consul/api,2,3,0,0,5
github.com/hashicorp/go-cleanhttp,2,3,0,0,5
github.com/hashicorp/go-immutable-radix,2,3,0,0,5
github.com/hashicorp/go-rootcerts,2,3,0,0,5
github.com/hashicorp/go.net,0,5,0,0,5
github.com/mitchellh/gox,0,5,0,0,5
github.com/mitchellh/iochan,0,5,0,0,5
cloud.google.com/go/compute,2,2,0,1,5
cloud.google.com/go/datacatalog,4,1,0,0,5
github.com/googlecloudplatform/opentelemetry-operations-go/exporter/metric,3,1,1,0,5
