repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
AppsFlyer__go-sundheit,cdxgen,1,1,7,7,11,11,1,1,1,1,0,0,1,1,1,1,6,6,1,1,1,1,10,10,yes
AppsFlyer__go-sundheit,cyclonedx-gomod,1,1,7,7,11,11,1,1,0,0,0,0,1,1,0,0,6,6,1,1,0,0,10,10,yes
Balaji01-4D__pgxcli,syft,63,63,66,66,164,164,63,63,67,67,0,0,66,66,64,64,0,0,130,130,0,0,34,34,yes
Balaji01-4D__pgxcli,trivy,63,63,66,66,164,164,63,63,49,49,0,0,66,66,46,46,0,0,112,112,0,0,52,52,yes
Balaji01-4D__pgxcli,cdxgen,63,63,66,66,164,164,63,63,0,0,0,0,63,63,0,0,3,3,63,63,0,0,101,101,yes
Balaji01-4D__pgxcli,cyclonedx-gomod,63,63,66,66,164,164,63,63,1,1,0,0,63,63,1,1,3,3,64,64,0,0,100,100,yes
Bilibili__discovery,syft,23,23,27,27,211,211,23,23,16,16,0,0,27,27,12,12,0,0,39,39,0,0,172,172,yes
Bilibili__discovery,trivy,23,23,27,27,211,211,23,23,188,188,0,0,27,27,184,184,0,0,211,211,0,0,0,0,yes
Bilibili__discovery,cdxgen,23,23,27,27,211,211,23,23,0,0,0,0,23,23,0,0,4,4,23,23,0,0,188,188,yes
Bilibili__discovery,cyclonedx-gomod,23,23,27,27,211,211,23,23,3,3,0,0,23,23,3,3,4,4,26,26,0,0,185,185,yes
Boeing__config-file-validator,syft,42,42,47,47,100,100,42,42,24,24,0,0,47,47,19,19,0,0,66,66,0,0,34,34,yes
Boeing__config-file-validator,trivy,42,42,47,47,100,100,42,42,6,6,0,0,47,47,1,1,0,0,48,48,0,0,52,52,yes
Boeing__config-file-validator,cdxgen,42,42,47,47,100,100,42,42,0,0,0,0,42,42,0,0,5,5,42,42,0,0,58,58,yes
Boeing__config-file-validator,cyclonedx-gomod,42,42,47,47,100,100,42,42,2,2,0,0,43,43,1,1,4,4,44,44,0,0,56,56,yes
Breeze0806__go-etl,syft,54,54,54,54,103,103,54,54,21,21,0,0,54,54,21,21,0,0,75,75,0,0,28,28,yes
Breeze0806__go-etl,trivy,54,54,54,54,103,103,54,54,1,1,0,0,54,54,1,1,0,0,55,55,0,0,48,48,yes
Breeze0806__go-etl,cdxgen,54,54,54,54,103,103,54,54,0,0,0,0,54,54,0,0,0,0,54,54,0,0,49,49,yes
