repo,all,imported,direct,tool,found,P_all,R_all,F1_all,P_imp,R_imp,F1_imp,P_dir,R_dir,F1_dir
hsluoyz__casbin,3,3,3,syft,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
hsluoyz__casbin,3,3,3,trivy,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
hsluoyz__casbin,3,3,3,cdxgen,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
hsluoyz__casbin,3,3,3,cyclonedx-gomod,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ianlopshire__go-ssm-config,13,3,2,syft,10,100.0,76.9,87.0,30.0,100.0,46.2,20.0,100.0,33.3
ianlopshire__go-ssm-config,13,3,2,trivy,13,100.0,100.0,100.0,23.1,100.0,37.5,15.4,100.0,26.7
ianlopshire__go-ssm-config,13,3,2,cdxgen,3,100.0,23.1,37.5,100.0,100.0,100.0,66.7,100.0,80.0
ianlopshire__go-ssm-config,13,3,2,cyclonedx-gomod,3,100.0,23.1,37.5,100.0,100.0,100.0,66.7,100.0,80.0
icza__session,1,,1,syft,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
icza__session,1,,1,trivy,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
icza__session,1,,1,cdxgen,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
icza__session,1,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
ilyakaznacheev__cleanenv,5,4,4,syft,5,100.0,100.0,100.0,80.0,100.0,88.9,80.0,100.0,88.9
ilyakaznacheev__cleanenv,5,4,4,trivy,5,100.0,100.0,100.0,80.0,100.0,88.9,80.0,100.0,88.9
ilyakaznacheev__cleanenv,5,4,4,cdxgen,4,100.0,80.0,88.9,100.0,100.0,100.0,100.0,100.0,100.0
ilyakaznacheev__cleanenv,5,4,4,cyclonedx-gomod,4,100.0,80.0,88.9,100.0,100.0,100.0,100.0,100.0,100.0
innogames__slack-bot,275,73,26,syft,104,95.2,36.0,52.2,70.2,100.0,82.5,25.0,100.0,40.0
innogames__slack-bot,275,73,26,trivy,79,96.2,27.6,42.9,92.4,100.0,96.1,32.9,100.0,49.5
innogames__slack-bot,275,73,26,cdxgen,75,97.3,26.5,41.7,97.3,100.0,98.6,33.3,96.2,49.5
innogames__slack-bot,275,73,26,cyclonedx-gomod,73,100.0,26.5,42.0,100.0,100.0,100.0,34.2,96.2,50.5
integrii__flaggy,0,,,syft,0,0.0,0.0,0.0,,,,,,
integrii__flaggy,0,,,trivy,0,0.0,0.0,0.0,,,,,,
integrii__flaggy,0,,,cdxgen,2,0.0,0.0,0.0,,,,,,
integrii__flaggy,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
ipfs__kubo,629,255,92,syft,470,69.1,51.7,59.1,54.3,100.0,70.3,19.6,100.0,32.7
ipfs__kubo,629,255,92,trivy,435,66.7,46.1,54.5,58.6,100.0,73.9,21.1,100.0,34.9
ipfs__kubo,629,255,92,cdxgen,261,98.9,41.0,58.0,97.7,100.0,98.8,34.1,96.7,50.4
ipfs__kubo,629,255,92,cyclonedx-gomod,259,100.0,41.2,58.3,98.5,100.0,99.2,34.4,96.7,50.7
iyashjayesh__goscaf,31,11,3,syft,19,100.0,61.3,76.0,57.9,100.0,73.3,15.8,100.0,27.3
iyashjayesh__goscaf,31,11,3,trivy,12,100.0,38.7,55.8,91.7,100.0,95.7,25.0,100.0,40.0
iyashjayesh__goscaf,31,11,3,cdxgen,11,100.0,35.5,52.4,100.0,100.0,100.0,27.3,100.0,42.9
iyashjayesh__goscaf,31,11,3,cyclonedx-gomod,12,100.0,38.7,55.8,91.7,100.0,95.7,25.0,100.0,40.0
jaffee__commandeer,94,2,2,syft,4,100.0,4.3,8.2,50.0,100.0,66.7,50.0,100.0,66.7
jaffee__commandeer,94,2,2,trivy,94,100.0,100.0,100.0,2.1,100.0,4.2,2.1,100.0,4.2
jaffee__commandeer,94,2,2,cdxgen,2,100.0,2.1,4.2,100.0,100.0,100.0,100.0,100.0,100.0
jaffee__commandeer,94,2,2,cyclonedx-gomod,3,100.0,3.2,6.2,66.7,100.0,80.0,66.7,100.0,80.0
jawher__mow.cli,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
jawher__mow.cli,6,,1,trivy,6,100.0,100.0,100.0,,,,16.7,100.0,28.6
jawher__mow.cli,6,,1,cdxgen,3,100.0,50.0,66.7,,,,33.3,100.0,50.0
jawher__mow.cli,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
jessevdk__go-flags,11,1,2,syft,6,100.0,54.5,70.6,16.7,100.0,28.6,33.3,100.0,50.0
jessevdk__go-flags,11,1,2,trivy,11,100.0,100.0,100.0,9.1,100.0,16.7,18.2,100.0,30.8
jessevdk__go-flags,11,1,2,cdxgen,1,100.0,9.1,16.7,100.0,100.0,100.0,100.0,50.0,66.7
jessevdk__go-flags,11,1,2,cyclonedx-gomod,1,100.0,9.1,16.7,100.0,100.0,100.0,100.0,50.0,66.7
jf-tech__omniparser,126,21,12,syft,29,100.0,23.0,37.4,72.4,100.0,84.0,41.4,100.0,58.5
jf-tech__omniparser,126,21,12,trivy,126,100.0,100.0,100.0,16.7,100.0,28.6,9.5,100.0,17.4
jf-tech__omniparser,126,21,12,cdxgen,21,100.0,16.7,28.6,100.0,100.0,100.0,47.6,83.3,60.6
jf-tech__omniparser,126,21,12,cyclonedx-gomod,22,100.0,17.5,29.7,95.5,100.0,97.7,45.5,83.3,58.8
jferrl__go-githubauth,3,2,2,syft,2,100.0,66.7,80.0,100.0,100.0,100.0,100.0,100.0,100.0
jferrl__go-githubauth,3,2,2,trivy,3,100.0,100.0,100.0,66.7,100.0,80.0,66.7,100.0,80.0
jferrl__go-githubauth,3,2,2,cdxgen,2,100.0,66.7,80.0,100.0,100.0,100.0,100.0,100.0,100.0
jferrl__go-githubauth,3,2,2,cyclonedx-gomod,2,100.0,66.7,80.0,100.0,100.0,100.0,100.0,100.0,100.0
jltorresm__otpgo,1,1,1,syft,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
jltorresm__otpgo,1,1,1,trivy,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
jltorresm__otpgo,1,1,1,cdxgen,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
jltorresm__otpgo,1,1,1,cyclonedx-gomod,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
jmorganca__ollama,177,71,39,syft,113,100.0,63.8,77.9,62.8,100.0,77.2,34.5,100.0,51.3
jmorganca__ollama,177,71,39,trivy,95,100.0,53.7,69.9,74.7,100.0,85.5,41.1,100.0,58.2
jmorganca__ollama,177,71,39,cdxgen,71,100.0,40.1,57.3,100.0,100.0,100.0,46.5,84.6,60.0
jmorganca__ollama,177,71,39,cyclonedx-gomod,89,100.0,50.3,66.9,79.8,100.0,88.8,40.4,92.3,56.3
joerdav__xc,48,25,7,syft,38,97.4,77.1,86.0,65.8,100.0,79.4,18.4,100.0,31.1
joerdav__xc,48,25,7,trivy,27,96.3,54.2,69.3,92.6,100.0,96.2,25.9,100.0,41.2
joerdav__xc,48,25,7,cdxgen,25,100.0,52.1,68.5,100.0,100.0,100.0,28.0,100.0,43.8
joerdav__xc,48,25,7,cyclonedx-gomod,26,100.0,54.2,70.3,96.2,100.0,98.0,26.9,100.0,42.4
joho__godotenv,0,,,syft,0,0.0,0.0,0.0,,,,,,
joho__godotenv,0,,,trivy,0,0.0,0.0,0.0,,,,,,
joho__godotenv,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
joho__godotenv,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
jon-codes__getopt,1,,1,syft,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
jon-codes__getopt,1,,1,trivy,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
jon-codes__getopt,1,,1,cdxgen,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
jon-codes__getopt,1,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
jroimartin__gocui,2,2,1,syft,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
jroimartin__gocui,2,2,1,trivy,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
jroimartin__gocui,2,2,1,cdxgen,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
jroimartin__gocui,2,2,1,cyclonedx-gomod,2,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,66.7
junk1tm__env,0,,,syft,0,0.0,0.0,0.0,,,,,,
junk1tm__env,0,,,trivy,0,0.0,0.0,0.0,,,,,,
junk1tm__env,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
junk1tm__env,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
jxskiss__mcli,7,1,2,syft,6,100.0,85.7,92.3,16.7,100.0,28.6,33.3,100.0,50.0
jxskiss__mcli,7,1,2,trivy,5,100.0,71.4,83.3,20.0,100.0,33.3,40.0,100.0,57.1
jxskiss__mcli,7,1,2,cdxgen,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
jxskiss__mcli,7,1,2,cyclonedx-gomod,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
kelseyhightower__envconfig,0,,,syft,0,0.0,0.0,0.0,,,,,,
kelseyhightower__envconfig,0,,,trivy,0,0.0,0.0,0.0,,,,,,
kelseyhightower__envconfig,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
kelseyhightower__envconfig,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
kkyr__fig,8,3,3,syft,8,87.5,87.5,87.5,37.5,100.0,54.5,37.5,100.0,54.5
kkyr__fig,8,3,3,trivy,10,80.0,100.0,88.9,30.0,100.0,46.2,30.0,100.0,46.2
kkyr__fig,8,3,3,cdxgen,4,75.0,37.5,50.0,75.0,100.0,85.7,75.0,100.0,85.7
kkyr__fig,8,3,3,cyclonedx-gomod,3,100.0,37.5,54.5,100.0,100.0,100.0,100.0,100.0,100.0
kslamph__tronlib,201,17,10,syft,38,100.0,18.9,31.8,44.7,100.0,61.8,26.3,100.0,41.7
kslamph__tronlib,201,17,10,trivy,23,100.0,11.4,20.5,73.9,100.0,85.0,43.5,100.0,60.6
kslamph__tronlib,201,17,10,cdxgen,17,100.0,8.5,15.6,100.0,100.0,100.0,52.9,90.0,66.7
kslamph__tronlib,201,17,10,cyclonedx-gomod,17,100.0,8.5,15.6,100.0,100.0,100.0,52.9,90.0,66.7
labstack__gommon,11,5,4,syft,10,100.0,90.9,95.2,50.0,100.0,66.7,40.0,100.0,57.1
labstack__gommon,11,5,4,trivy,9,100.0,81.8,90.0,55.6,100.0,71.4,44.4,100.0,61.5
labstack__gommon,11,5,4,cdxgen,5,100.0,45.5,62.5,100.0,100.0,100.0,60.0,75.0,66.7
labstack__gommon,11,5,4,cyclonedx-gomod,5,100.0,45.5,62.5,100.0,100.0,100.0,60.0,75.0,66.7
lalamove__konfig,245,51,20,syft,104,100.0,42.4,59.6,49.0,100.0,65.8,19.2,100.0,32.3
lalamove__konfig,245,51,20,trivy,245,100.0,100.0,100.0,20.8,100.0,34.5,8.2,100.0,15.1
lalamove__konfig,245,51,20,cdxgen,51,100.0,20.8,34.5,100.0,100.0,100.0,31.4,80.0,45.1
lalamove__konfig,245,51,20,cyclonedx-gomod,52,100.0,21.2,35.0,98.1,100.0,99.0,30.8,80.0,44.4
lazynop__lazyenv,40,21,7,syft,32,100.0,80.0,88.9,65.6,100.0,79.2,21.9,100.0,35.9
lazynop__lazyenv,40,21,7,trivy,25,100.0,62.5,76.9,84.0,100.0,91.3,28.0,100.0,43.8
lazynop__lazyenv,40,21,7,cdxgen,21,100.0,52.5,68.9,100.0,100.0,100.0,28.6,85.7,42.9
lazynop__lazyenv,40,21,7,cyclonedx-gomod,21,100.0,52.5,68.9,100.0,100.0,100.0,28.6,85.7,42.9
leaanthony__clir,0,,,syft,0,0.0,0.0,0.0,,,,,,
leaanthony__clir,0,,,trivy,0,0.0,0.0,0.0,,,,,,
leaanthony__clir,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
leaanthony__clir,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
leberKleber__go-mpris,7,1,2,syft,6,100.0,85.7,92.3,16.7,100.0,28.6,33.3,100.0,50.0
leberKleber__go-mpris,7,1,2,trivy,5,100.0,71.4,83.3,20.0,100.0,33.3,40.0,100.0,57.1
leberKleber__go-mpris,7,1,2,cdxgen,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
leberKleber__go-mpris,7,1,2,cyclonedx-gomod,1,100.0,14.3,25.0,100.0,100.0,100.0,100.0,50.0,66.7
lestrrat-go__jwx,20,8,5,syft,34,44.1,75.0,55.6,23.5,100.0,38.1,14.7,100.0,25.6
lestrrat-go__jwx,20,8,5,trivy,28,46.4,65.0,54.2,28.6,100.0,44.4,17.9,100.0,30.3
lestrrat-go__jwx,20,8,5,cdxgen,27,48.1,65.0,55.3,29.6,100.0,45.7,18.5,100.0,31.3
lestrrat-go__jwx,20,8,5,cyclonedx-gomod,11,100.0,55.0,71.0,72.7,100.0,84.2,45.5,100.0,62.5
lightningnetwork__lnd,521,122,64,syft,425,55.8,45.5,50.1,28.7,100.0,44.6,15.1,100.0,26.2
lightningnetwork__lnd,521,122,64,trivy,381,54.6,39.9,46.1,32.0,100.0,48.5,16.8,100.0,28.8
lightningnetwork__lnd,521,122,64,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightningnetwork__lnd,521,122,64,cyclonedx-gomod,185,99.5,35.3,52.1,65.4,99.2,78.8,34.1,98.4,50.6
liujianping__job,115,25,4,syft,38,100.0,33.0,49.7,65.8,100.0,79.4,10.5,100.0,19.0
liujianping__job,115,25,4,trivy,115,100.0,100.0,100.0,21.7,100.0,35.7,3.5,100.0,6.7
liujianping__job,115,25,4,cdxgen,25,100.0,21.7,35.7,100.0,100.0,100.0,16.0,100.0,27.6
liujianping__job,115,25,4,cyclonedx-gomod,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logrusorgru__aurora,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
logrusorgru__aurora,6,,1,trivy,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
logrusorgru__aurora,6,,1,cdxgen,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
logrusorgru__aurora,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
loom-go__loom,8,2,2,syft,7,100.0,87.5,93.3,28.6,100.0,44.4,28.6,100.0,44.4
loom-go__loom,8,2,2,trivy,6,100.0,75.0,85.7,33.3,100.0,50.0,33.3,100.0,50.0
loom-go__loom,8,2,2,cdxgen,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,50.0,50.0
loom-go__loom,8,2,2,cyclonedx-gomod,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,50.0,50.0
magefile__mage,0,,,syft,0,0.0,0.0,0.0,,,,,,
magefile__mage,0,,,trivy,0,0.0,0.0,0.0,,,,,,
magefile__mage,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
magefile__mage,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
markbates__goth,44,19,11,syft,31,100.0,70.5,82.7,61.3,100.0,76.0,35.5,100.0,52.4
markbates__goth,44,19,11,trivy,30,100.0,68.2,81.1,63.3,100.0,77.6,36.7,100.0,53.7
markbates__goth,44,19,11,cdxgen,19,100.0,43.2,60.3,100.0,100.0,100.0,47.4,81.8,60.0
markbates__goth,44,19,11,cyclonedx-gomod,21,100.0,47.7,64.6,90.5,100.0,95.0,42.9,81.8,56.3
mattn__go-colorable,2,2,2,syft,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-colorable,2,2,2,trivy,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-colorable,2,2,2,cdxgen,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-colorable,2,2,2,cyclonedx-gomod,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-isatty,1,1,1,syft,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-isatty,1,1,1,trivy,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-isatty,1,1,1,cdxgen,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__go-isatty,1,1,1,cyclonedx-gomod,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mattn__goveralls,10,2,2,syft,4,100.0,40.0,57.1,50.0,100.0,66.7,50.0,100.0,66.7
mattn__goveralls,10,2,2,trivy,10,100.0,100.0,100.0,20.0,100.0,33.3,20.0,100.0,33.3
mattn__goveralls,10,2,2,cdxgen,2,100.0,20.0,33.3,100.0,100.0,100.0,100.0,100.0,100.0
mattn__goveralls,10,2,2,cyclonedx-gomod,2,100.0,20.0,33.3,100.0,100.0,100.0,100.0,100.0,100.0
maxclaus__gaper,20,9,5,syft,16,100.0,80.0,88.9,56.3,100.0,72.0,31.3,100.0,47.6
maxclaus__gaper,20,9,5,trivy,20,100.0,100.0,100.0,45.0,100.0,62.1,25.0,100.0,40.0
maxclaus__gaper,20,9,5,cdxgen,9,100.0,45.0,62.1,100.0,100.0,100.0,44.4,80.0,57.1
maxclaus__gaper,20,9,5,cyclonedx-gomod,10,100.0,50.0,66.7,90.0,100.0,94.7,40.0,80.0,53.3
melvinodsa__go-iam,97,60,11,syft,70,100.0,72.2,83.8,85.7,100.0,92.3,15.7,100.0,27.2
melvinodsa__go-iam,97,60,11,trivy,60,100.0,61.9,76.4,100.0,100.0,100.0,18.3,100.0,31.0
melvinodsa__go-iam,97,60,11,cdxgen,60,100.0,61.9,76.4,100.0,100.0,100.0,18.3,100.0,31.0
melvinodsa__go-iam,97,60,11,cyclonedx-gomod,42,100.0,43.3,60.4,100.0,70.0,82.4,23.8,90.9,37.7
mengzhuo__cookiestxt,0,,,syft,0,0.0,0.0,0.0,,,,,,
mengzhuo__cookiestxt,0,,,trivy,0,0.0,0.0,0.0,,,,,,
mengzhuo__cookiestxt,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
mengzhuo__cookiestxt,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
mewkiz__flac,9,3,2,syft,4,100.0,44.4,61.5,75.0,100.0,85.7,50.0,100.0,66.7
mewkiz__flac,9,3,2,trivy,3,100.0,33.3,50.0,100.0,100.0,100.0,66.7,100.0,80.0
mewkiz__flac,9,3,2,cdxgen,3,100.0,33.3,50.0,100.0,100.0,100.0,66.7,100.0,80.0
mewkiz__flac,9,3,2,cyclonedx-gomod,3,100.0,33.3,50.0,100.0,100.0,100.0,66.7,100.0,80.0
mikespook__gorbac,0,,,syft,19,0.0,0.0,0.0,,,,,,
mikespook__gorbac,0,,,trivy,18,0.0,0.0,0.0,,,,,,
mikespook__gorbac,0,,,cdxgen,18,0.0,0.0,0.0,,,,,,
mikespook__gorbac,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
milad-abbasi__gonfig,8,3,4,syft,7,100.0,87.5,93.3,42.9,100.0,60.0,57.1,100.0,72.7
milad-abbasi__gonfig,8,3,4,trivy,9,88.9,100.0,94.1,33.3,100.0,50.0,44.4,100.0,61.5
milad-abbasi__gonfig,8,3,4,cdxgen,3,100.0,37.5,54.5,100.0,100.0,100.0,100.0,75.0,85.7
milad-abbasi__gonfig,8,3,4,cyclonedx-gomod,3,100.0,37.5,54.5,100.0,100.0,100.0,100.0,75.0,85.7
mkideal__cli,23,8,7,syft,13,100.0,56.5,72.2,61.5,100.0,76.2,53.8,100.0,70.0
mkideal__cli,23,8,7,trivy,23,100.0,100.0,100.0,34.8,100.0,51.6,30.4,100.0,46.7
mkideal__cli,23,8,7,cdxgen,8,100.0,34.8,51.6,100.0,100.0,100.0,75.0,85.7,80.0
mkideal__cli,23,8,7,cyclonedx-gomod,8,100.0,34.8,51.6,100.0,100.0,100.0,75.0,85.7,80.0
mr-linch__go-tg,13,2,3,syft,20,50.0,76.9,60.6,10.0,100.0,18.2,15.0,100.0,26.1
mr-linch__go-tg,13,2,3,trivy,15,60.0,69.2,64.3,13.3,100.0,23.5,20.0,100.0,33.3
mr-linch__go-tg,13,2,3,cdxgen,10,50.0,38.5,43.5,20.0,100.0,33.3,20.0,66.7,30.8
mr-linch__go-tg,13,2,3,cyclonedx-gomod,2,100.0,15.4,26.7,100.0,100.0,100.0,100.0,66.7,80.0
mszostok__version,55,29,13,syft,67,58.2,70.9,63.9,43.3,100.0,60.4,19.4,100.0,32.5
mszostok__version,55,29,13,trivy,67,58.2,70.9,63.9,43.3,100.0,60.4,19.4,100.0,32.5
mszostok__version,55,29,13,cdxgen,60,58.3,63.6,60.9,48.3,100.0,65.2,21.7,100.0,35.6
mszostok__version,55,29,13,cyclonedx-gomod,30,100.0,54.5,70.6,96.7,100.0,98.3,40.0,92.3,55.8
mudler__LocalAI,1124,,92,syft,618,100.0,55.0,71.0,,,,14.9,100.0,25.9
mudler__LocalAI,1124,,92,trivy,494,99.8,43.9,60.9,,,,18.6,100.0,31.4
mudler__LocalAI,1124,,92,cdxgen,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
mudler__LocalAI,1124,,92,cyclonedx-gomod,478,100.0,42.5,59.7,,,,18.2,94.6,30.5
muesli__termenv,5,5,5,syft,15,33.3,100.0,50.0,33.3,100.0,50.0,33.3,100.0,50.0
muesli__termenv,5,5,5,trivy,14,35.7,100.0,52.6,35.7,100.0,52.6,35.7,100.0,52.6
muesli__termenv,5,5,5,cdxgen,13,38.5,100.0,55.6,38.5,100.0,55.6,38.5,100.0,55.6
muesli__termenv,5,5,5,cyclonedx-gomod,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
muir__nfigure,27,7,8,syft,22,100.0,81.5,89.8,31.8,100.0,48.3,36.4,100.0,53.3
muir__nfigure,27,7,8,trivy,20,100.0,74.1,85.1,35.0,100.0,51.9,40.0,100.0,57.1
muir__nfigure,27,7,8,cdxgen,7,100.0,25.9,41.2,100.0,100.0,100.0,71.4,62.5,66.7
muir__nfigure,27,7,8,cyclonedx-gomod,7,100.0,25.9,41.2,100.0,100.0,100.0,71.4,62.5,66.7
mum4k__termdash,17,10,4,syft,10,100.0,58.8,74.1,100.0,100.0,100.0,40.0,100.0,57.1
mum4k__termdash,17,10,4,trivy,10,100.0,58.8,74.1,100.0,100.0,100.0,40.0,100.0,57.1
mum4k__termdash,17,10,4,cdxgen,10,100.0,58.8,74.1,100.0,100.0,100.0,40.0,100.0,57.1
mum4k__termdash,17,10,4,cyclonedx-gomod,10,100.0,58.8,74.1,100.0,100.0,100.0,40.0,100.0,57.1
mymmrac__telego,30,7,6,syft,50,50.0,83.3,62.5,14.0,100.0,24.6,12.0,100.0,21.4
mymmrac__telego,30,7,6,trivy,43,53.5,76.7,63.0,16.3,100.0,28.0,14.0,100.0,24.5
mymmrac__telego,30,7,6,cdxgen,31,41.9,43.3,42.6,22.6,100.0,36.8,12.9,66.7,21.6
mymmrac__telego,30,7,6,cyclonedx-gomod,15,100.0,50.0,66.7,46.7,100.0,63.6,33.3,83.3,47.6
nanovms__ops,521,196,62,syft,254,100.0,48.8,65.5,77.2,100.0,87.1,24.4,100.0,39.2
nanovms__ops,521,196,62,trivy,218,100.0,41.8,59.0,89.9,100.0,94.7,28.4,100.0,44.3
nanovms__ops,521,196,62,cdxgen,218,100.0,41.8,59.0,89.9,100.0,94.7,28.4,100.0,44.3
nanovms__ops,521,196,62,cyclonedx-gomod,200,100.0,38.4,55.5,97.5,99.5,98.5,30.0,96.8,45.8
napalu__goopt,19,7,7,syft,27,48.1,68.4,56.5,25.9,100.0,41.2,25.9,100.0,41.2
napalu__goopt,19,7,7,trivy,26,46.2,63.2,53.3,26.9,100.0,42.4,26.9,100.0,42.4
napalu__goopt,19,7,7,cdxgen,9,88.9,42.1,57.1,77.8,100.0,87.5,66.7,85.7,75.0
napalu__goopt,19,7,7,cyclonedx-gomod,7,100.0,36.8,53.8,100.0,100.0,100.0,85.7,85.7,85.7
napsy__go-css,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
napsy__go-css,6,,1,trivy,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
napsy__go-css,6,,1,cdxgen,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
napsy__go-css,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
nasermirzaei89__env,0,,,syft,0,0.0,0.0,0.0,,,,,,
nasermirzaei89__env,0,,,trivy,0,0.0,0.0,0.0,,,,,,
nasermirzaei89__env,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
nasermirzaei89__env,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
nikogura__gomason,30,13,8,syft,20,100.0,66.7,80.0,65.0,100.0,78.8,40.0,100.0,57.1
nikogura__gomason,30,13,8,trivy,15,100.0,50.0,66.7,86.7,100.0,92.9,53.3,100.0,69.6
nikogura__gomason,30,13,8,cdxgen,13,100.0,43.3,60.5,100.0,100.0,100.0,53.8,87.5,66.7
nikogura__gomason,30,13,8,cyclonedx-gomod,14,100.0,46.7,63.6,92.9,100.0,96.3,50.0,87.5,63.6
nil-go__konf,0,,,syft,150,0.0,0.0,0.0,,,,,,
nil-go__konf,0,,,trivy,125,0.0,0.0,0.0,,,,,,
nil-go__konf,0,,,cdxgen,85,0.0,0.0,0.0,,,,,,
nil-go__konf,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
nsf__termbox-go,3,3,2,syft,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
nsf__termbox-go,3,3,2,trivy,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
nsf__termbox-go,3,3,2,cdxgen,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
nsf__termbox-go,3,3,2,cyclonedx-gomod,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
num30__config,192,23,8,syft,33,100.0,17.2,29.3,69.7,100.0,82.1,24.2,100.0,39.0
num30__config,192,23,8,trivy,29,100.0,15.1,26.2,79.3,100.0,88.5,27.6,100.0,43.2
num30__config,192,23,8,cdxgen,23,100.0,12.0,21.4,100.0,100.0,100.0,30.4,87.5,45.2
num30__config,192,23,8,cyclonedx-gomod,25,100.0,13.0,23.0,92.0,100.0,95.8,28.0,87.5,42.4
nyaosorg__go-readline-ny,12,9,5,syft,10,100.0,83.3,90.9,90.0,100.0,94.7,50.0,100.0,66.7
nyaosorg__go-readline-ny,12,9,5,trivy,10,100.0,83.3,90.9,90.0,100.0,94.7,50.0,100.0,66.7
nyaosorg__go-readline-ny,12,9,5,cdxgen,9,100.0,75.0,85.7,100.0,100.0,100.0,44.4,80.0,57.1
nyaosorg__go-readline-ny,12,9,5,cyclonedx-gomod,10,100.0,83.3,90.9,90.0,100.0,94.7,50.0,100.0,66.7
o1egl__paseto,12,4,4,syft,9,100.0,75.0,85.7,44.4,100.0,61.5,44.4,100.0,61.5
o1egl__paseto,12,4,4,trivy,12,100.0,100.0,100.0,33.3,100.0,50.0,33.3,100.0,50.0
