name,url,clone,go_list,syft,trivy,cdxgen,cyclonedx_gomod,gt_lines
emperror__errors,https://github.com/emperror/errors,ok,ok,ok,ok,ok,ok,8
neuronlabs__errors,https://github.com/neuronlabs/errors,ok,ok,ok,ok,ok,ok,6
PumpkinSeed__errors,https://github.com/PumpkinSeed/errors,ok,ok,ok,ok,ok,ok,1
naughtygopher__errors,https://github.com/naughtygopher/errors,ok,ok,ok,ok,ok,ok,37
cockroachdb__errors,https://github.com/cockroachdb/errors,ok,ok,ok,ok,ok,ok,173
joomcode__errorx,https://github.com/joomcode/errorx,ok,ok,ok,ok,ok,ok,7
rbrahul__exception,https://github.com/rbrahul/exception,ok,ok,ok,ok,ok,ok,1
go-errr__go,https://github.com/go-errr/go,ok,ok,ok,ok,ok,ok,7
SonicRoshan__falcon,https://github.com/SonicRoshan/falcon,ok,fail,ok,ok,ok,fail,0
Southclaws__fault,https://github.com/Southclaws/fault,ok,ok,ok,ok,ok,ok,54
hashicorp__go-multierror,https://github.com/hashicorp/go-multierror,ok,ok,ok,ok,ok,ok,1
quantumcycle__metaerr,https://github.com/quantumcycle/metaerr,ok,ok,ok,ok,ok,ok,7
uber-go__multierr,https://github.com/uber-go/multierr,ok,ok,ok,ok,ok,ok,7
samber__oops,https://github.com/samber/oops,ok,fail,ok,ok,fail,ok,0
ztrue__tracerr,https://github.com/ztrue/tracerr,ok,ok,ok,ok,ok,ok,1
spf13__afero,https://github.com/spf13/afero,ok,ok,ok,ok,ok,ok,5
viant__afs,https://github.com/viant/afs,ok,ok,ok,ok,ok,ok,80
xis__baraka,https://github.com/xis/baraka,ok,ok,ok,ok,ok,ok,7
codingsince1985__checksum,https://github.com/codingsince1985/checksum,ok,ok,ok,ok,ok,ok,7
otiai10__copy,https://github.com/otiai10/copy,ok,ok,ok,ok,ok,ok,4
charlievieth__fastwalk,https://github.com/charlievieth/fastwalk,ok,ok,ok,ok,ok,ok,1
junegunn__fzf,https://github.com/junegunn/fzf,ok,ok,ok,ok,ok,ok,19
homedepot__flop,https://github.com/homedepot/flop,ok,ok,ok,ok,ok,ok,6
dundee__gdu,https://github.com/dundee/gdu,ok,ok,ok,ok,ok,ok,79
artonge__go-csv-tag,https://github.com/artonge/go-csv-tag,ok,ok,ok,ok,ok,ok,1
hugocarreira__go-decent-copy,https://github.com/hugocarreira/go-decent-copy,ok,ok,ok,ok,ok,ok,1
barasher__go-exiftool,https://github.com/barasher/go-exiftool,ok,ok,ok,ok,ok,ok,5
artonge__go-gtfs,https://github.com/artonge/go-gtfs,ok,ok,ok,ok,ok,ok,2
SebastiaanKlippert__go-wkhtmltopdf,https://github.com/SebastiaanKlippert/go-wkhtmltopdf,ok,ok,ok,ok,ok,ok,14
no-src__gofs,https://github.com/no-src/gofs,ok,ok,ok,ok,ok,ok,183
adelowo__gulter,https://github.com/adelowo/gulter,ok,ok,ok,ok,ok,ok,43
1set__gut,https://github.com/1set/gut,ok,ok,ok,ok,ok,ok,1
coregx__gxpdf,https://github.com/coregx/gxpdf,ok,ok,ok,ok,ok,ok,28
dastoori__higgs,https://github.com/dastoori/higgs,ok,ok,ok,ok,ok,ok,1
kdomanski__iso9660,https://github.com/kdomanski/iso9660,ok,ok,ok,ok,ok,ok,7
rjeczalik__notify,https://github.com/rjeczalik/notify,ok,ok,ok,ok,ok,ok,2
qmuntal__opc,https://github.com/qmuntal/opc,ok,ok,ok,ok,ok,ok,5
parsyl__parquet,https://github.com/parsyl/parquet,ok,ok,ok,ok,ok,ok,11
jonchun__pathtype,https://github.com/jonchun/pathtype,ok,ok,ok,ok,ok,ok,1
pdfcpu__pdfcpu,https://github.com/pdfcpu/pdfcpu,ok,ok,ok,ok,ok,ok,24
dixonwille__skywalker,https://github.com/dixonwille/skywalker,ok,fail,ok,ok,ok,fail,0
1set__todotxt,https://github.com/1set/todotxt,ok,ok,ok,ok,ok,ok,2
todotxt__todo.txt,https://github.com/todotxt/todo.txt,ok,fail,ok,ok,ok,fail,0
C2FO__vfs,https://github.com/C2FO/vfs,ok,ok,ok,ok,ok,ok,278
leekchan__accounting,https://github.com/leekchan/accounting,ok,ok,ok,ok,ok,ok,5
moov-io__ach,https://github.com/moov-io/ach,ok,ok,ok,ok,ok,ok,194
c9s__bbgo,https://github.com/c9s/bbgo,ok,ok,ok,ok,ok,ok,380
bojanz__currency,https://github.com/bojanz/currency,ok,ok,ok,ok,ok,ok,3
naughtygopher__currency,https://github.com/naughtygopher/currency,ok,ok,ok,ok,ok,ok,7
jokruger__dec128,https://github.com/jokruger/dec128,ok,ok,ok,ok,ok,ok,1
shopspring__decimal,https://github.com/shopspring/decimal,ok,ok,ok,ok,ok,ok,1
aytechnet__decimal,https://github.com/aytechnet/decimal,ok,ok,ok,ok,fail,ok,1
govalues__decimal,https://github.com/govalues/decimal,ok,ok,ok,ok,ok,ok,1
nikolaydubina__fpdecimal,https://github.com/nikolaydubina/fpdecimal,ok,ok,ok,ok,ok,ok,1
nikolaydubina__fpmoney,https://github.com/nikolaydubina/fpmoney,ok,ok,ok,ok,ok,ok,2
alpeb__go-finance,https://github.com/alpeb/go-finance,ok,ok,ok,ok,ok,ok,1
pieterclaerhout__go-finance,https://github.com/pieterclaerhout/go-finance,ok,ok,ok,ok,ok,ok,8
rhymond__go-money,https://github.com/rhymond/go-money,ok,ok,ok,ok,ok,ok,1
coinpaprika__coinpaprika-api-go-client,https://github.com/coinpaprika/coinpaprika-api-go-client,ok,ok,ok,ok,ok,ok,9
matm__go-nowpayments,https://github.com/matm/go-nowpayments,ok,ok,ok,ok,ok,ok,8
invopop__gobl,https://github.com/invopop/gobl,ok,ok,ok,ok,ok,ok,82
cinar__indicator,https://github.com/cinar/indicator,ok,ok,ok,ok,ok,ok,1
formancehq__ledger,https://github.com/formancehq/ledger,ok,ok,ok,ok,ok,ok,391
govalues__money,https://github.com/govalues/money,ok,ok,ok,ok,ok,ok,2
aclindsa__ofxgo,https://github.com/aclindsa/ofxgo,ok,ok,ok,ok,ok,ok,12
i25959341__orderbook,https://github.com/i25959341/orderbook,ok,ok,ok,ok,ok,ok,3
jovandeginste__payme,https://github.com/jovandeginste/payme,ok,ok,ok,ok,ok,ok,39
sdcoffey__techan,https://github.com/sdcoffey/techan,ok,ok,ok,ok,ok,ok,8
achannarasappa__ticker,https://github.com/achannarasappa/ticker,ok,ok,ok,ok,ok,ok,397
claygod__transaction,https://github.com/claygod/transaction,ok,fail,ok,ok,ok,fail,0
quagmt__udecimal,https://github.com/quagmt/udecimal,ok,ok,ok,ok,ok,ok,9
dannyvankooten__vat,https://github.com/dannyvankooten/vat,ok,ok,ok,ok,ok,ok,1
robfig__bind,https://github.com/robfig/bind,ok,fail,ok,ok,ok,fail,0
