repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
Gituser143__cryptgo,cyclonedx-gomod,27,0,156,27,0,156,26,1,0,26,1,0,26,1,0,26,1,0
GoogleCloudPlatform__gcloud-golang,syft,185,142,11,74,342,122,31,296,0,31,385,0,0,327,0,0,416,0
GoogleCloudPlatform__gcloud-golang,trivy,174,133,22,58,323,138,31,276,0,31,350,0,0,307,0,0,381,0
GoogleCloudPlatform__gcloud-golang,cdxgen,64,47,132,51,108,145,31,80,0,31,128,0,0,111,0,0,159,0
GoogleCloudPlatform__gcloud-golang,cyclonedx-gomod,30,0,166,30,0,166,30,0,1,30,0,1,0,30,0,0,30,0
GuilhermeCaruso__anko,syft,5,1,9,5,2,9,3,3,0,3,4,0,3,3,0,3,4,0
GuilhermeCaruso__anko,trivy,14,2,0,14,3,0,3,13,0,3,14,0,3,13,0,3,14,0
GuilhermeCaruso__anko,cdxgen,3,0,11,3,0,11,3,0,0,3,0,0,3,0,0,3,0,0
GuilhermeCaruso__anko,cyclonedx-gomod,3,0,11,3,0,11,3,0,0,3,0,0,3,0,0,3,0,0
GuilhermeCaruso__mooncake,syft,5,0,5,5,0,5,4,1,0,4,1,0,4,1,0,4,1,0
GuilhermeCaruso__mooncake,trivy,4,0,6,4,0,6,4,0,0,4,0,0,4,0,0,4,0,0
GuilhermeCaruso__mooncake,cdxgen,4,0,6,4,0,6,4,0,0,4,0,0,4,0,0,4,0,0
GuilhermeCaruso__mooncake,cyclonedx-gomod,4,0,6,4,0,6,4,0,0,4,0,0,4,0,0,4,0,0
Guitarbum722__align,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Guitarbum722__align,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Guitarbum722__align,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Guitarbum722__align,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
HDT3213__rdb,syft,12,0,6,12,0,6,7,5,0,7,5,0,7,5,0,7,5,0
HDT3213__rdb,trivy,8,0,10,8,0,10,7,1,0,7,1,0,7,1,0,7,1,0
