repo,sha,stratum,status,n_gt_imported,n_gt_impT,n_gt_all,syft_state,trivy_state,cdxgen_state,cyclonedx-gomod_state,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
adrg__xdg,b1241e93d6d49a821dada3ee2ecc09bc91f5e65c,impT_nonempty,OK,0,4,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_nonempty,6,5,5,1,0,0,""
adrianmo__go-nmea,fb5708f1f10c1909b79955a71e10025cae8b8511,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,2,0,0,0,""
adrianosela__multikey,f34358b3ba02f271f675322d3082ee9142db0633,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
aerogo__log,9224037b5c825811e824ac19e21bc68af2d9f784,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
alecthomas__kong,a5c96268805994e92822673b24553196694fdda1,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,27,27,11,0,0,0,""
amimof__huego,b5d5385f8ad748d8b4ff5477df5a6a8a7212ea3e,impT_nonempty,OK,0,6,12,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,12,3,0,0,0,""
andygeiss__esp32-transpiler,2b2d7fc77042513c26eb9fc924ff877926e51700,impT_nonempty,OK,0,1,9,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
andygrunwald__vdf,b494c6cf6800fa2e5a073c876ac33e51e6083b39,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
antham__envh,dc96f9898b8a4666b34221ef31913e841c03aeba,impT_nonempty,OK,0,6,8,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,6,6,0,0,0,""
appleboy__gofight,638290c7faf4aea934e9025446f0258ad8b7f268,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,48,41,25,0,0,0,""
avast__retry-go,5bccbfa9340dfe6609f4ecfce30c971e2756c796,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
awalterschulze__gographviz,1aeb6b15b39e9f27f59787a7728e96477d794ce5,impT_empty,OK,0,0,13,ok_nonempty,ok_nonempty,ok_nonempty,ok_nonempty,6,6,6,6,0,0,""
bitfield__qrand,683c42648d34d3fa403db53f4455bb63aa653ddc,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
bobg__merkle,66b7aed2d6b260b517443ceee13cf7785f949b5b,impT_nonempty,OK,0,2,5,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,2,2,2,0,0,0,""
brunomvsouza__ynab.go,4ea314ff91caf4e68445063acda252f6fd425775,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,5,5,0,0,0,""
cep21__circuit,df9fc6e22e7683d17ae5bacd49f3dd241540b90e,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
dakera-ai__dakera-go,a618efbe259409867270bf280b3b0c5f1c157753,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
daviddengcn__go-colortext,dc4cd66b56a892657c0bea8bf4389d35210ce0ee,impT_nonempty,OK,0,1,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,2,0,0,0,""
ddelizia__channelify,cc70777578df74e9741612e25896d12ba72680e5,impT_empty,OK,0,0,10,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,2,80,2,0,0,0,""
detectlanguage__detectlanguage-go,cea83d189ccc1f303c7a4bb62b784a55d643a083,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,1,0,0,0,""
didi__gendry,e6d8f5cfe40e01ef4e2c883bc2b1bbd26123139c,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,7,2,0,0,0,""
diegomarangoni__typenv,76ad151dad0e5933e7d8217ff55ecb628e409429,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
dimuska139__go-email-normalizer,b5e78c151ffa714430c71e3b6371640ac029620e,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,1,0,0,0,""
dirkaholic__kyoo,d787ad2ef1b604425b98bfa6c39db16c18f57766,impT_nonempty,OK,0,4,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,19,11,6,0,0,0,""
dromara__carbon,3b7ed987dd6709ce117582e229fac6a2c6ccf971,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,51,33,22,0,0,0,""
elgohr__stop-and-go,4555d4a7f429c3814cca1ea80594a93e93fe7c36,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
elgris__sqrl,7e0198b30236910d8ff87417dc1f242923e413c9,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,3,0,0,0,""
giorgisio__goav,ea60062d943c8cc809e674903997b3276fb91b13,impT_nonempty,OK,0,4,8,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,6,6,0,0,0,""
go-ozzo__ozzo-dbx,8a5a0983417e99c730fdaacc71125378d2d052ac,impT_nonempty,OK,0,5,14,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,14,3,0,0,0,""
