repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_resid_gosum,fp_resid_sibling
Crocmagnon__fatcontext,trivy,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
Crocmagnon__fatcontext,cdxgen,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
Crocmagnon__fatcontext,cyclonedx-gomod,2,0,6,2,0,1,2,0,1,2,0,6,2,0,1,2,0,1,0,0,0,0,0,0
DATA-DOG__go-sqlmock,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DATA-DOG__go-sqlmock,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DATA-DOG__go-sqlmock,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DATA-DOG__go-sqlmock,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DMcP89__tinycare-tui,syft,51,0,13,29,22,0,31,20,0,51,0,13,29,22,0,31,20,0,2,1,0,4,15,0
DMcP89__tinycare-tui,trivy,36,0,28,29,7,0,31,5,0,36,0,28,29,7,0,31,5,0,2,1,0,4,0,0
DMcP89__tinycare-tui,cdxgen,29,0,35,29,0,0,29,0,2,29,0,35,29,0,0,29,0,2,0,0,0,0,0,0
DMcP89__tinycare-tui,cyclonedx-gomod,33,0,31,29,4,0,29,4,2,33,0,31,29,4,0,29,4,2,0,1,0,3,0,0
DarthPestilane__easytcp,syft,20,0,10,11,9,0,15,5,0,20,0,10,11,9,0,15,5,0,4,0,1,2,2,0
DarthPestilane__easytcp,trivy,18,0,12,11,7,0,15,3,0,18,0,12,11,7,0,15,3,0,4,0,1,2,0,0
DarthPestilane__easytcp,cdxgen,11,0,19,11,0,0,11,0,4,11,0,19,11,0,0,11,0,4,0,0,0,0,0,0
DarthPestilane__easytcp,cyclonedx-gomod,14,0,16,11,3,0,11,3,4,14,0,16,11,3,0,11,3,4,0,0,1,2,0,0
DeRuina__timberjack,syft,2,0,0,1,1,0,2,0,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,0
DeRuina__timberjack,trivy,2,0,0,1,1,0,2,0,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,0
DeRuina__timberjack,cdxgen,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
DeRuina__timberjack,cyclonedx-gomod,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
DrmagicE__gmqtt,syft,119,0,193,47,72,0,47,72,0,119,0,193,47,72,0,47,72,0,0,1,3,54,14,0
DrmagicE__gmqtt,trivy,105,0,207,47,58,0,47,58,0,105,0,207,47,58,0,47,58,0,0,1,3,54,0,0
DrmagicE__gmqtt,cdxgen,47,0,265,47,0,0,47,0,0,47,0,265,47,0,0,47,0,0,0,0,0,0,0,0
DrmagicE__gmqtt,cyclonedx-gomod,104,0,208,47,57,0,47,57,0,104,0,208,47,57,0,47,57,0,0,1,3,53,0,0
DylanMeeus__hasgo,syft,2,1,6,2,1,0,2,1,0,2,2,6,2,2,0,2,2,0,0,0,0,0,0,1
DylanMeeus__hasgo,trivy,8,1,0,2,7,0,2,7,0,8,2,0,2,8,0,2,8,0,0,0,0,0,6,1
DylanMeeus__hasgo,cdxgen,2,0,6,2,0,0,2,0,0,2,0,6,2,0,0,2,0,0,0,0,0,0,0,0
DylanMeeus__hasgo,cyclonedx-gomod,2,0,6,2,0,0,2,0,0,2,0,6,2,0,0,2,0,0,0,0,0,0,0,0
Dynom__TySug,syft,13,0,3,8,5,0,9,4,0,13,0,3,8,5,0,9,4,0,1,0,0,1,3,0
Dynom__TySug,trivy,10,0,6,8,2,0,9,1,0,10,0,6,8,2,0,9,1,0,1,0,0,1,0,0
Dynom__TySug,cdxgen,8,0,8,8,0,0,8,0,1,8,0,8,8,0,0,8,0,1,0,0,0,0,0,0
Dynom__TySug,cyclonedx-gomod,9,0,7,8,1,0,8,1,1,9,0,7,8,1,0,8,1,1,0,0,0,1,0,0
EchoVault__EchoVault,syft,40,0,56,30,10,0,31,9,0,40,0,56,30,10,0,31,9,0,1,0,0,0,9,0
EchoVault__EchoVault,trivy,31,0,65,30,1,0,31,0,0,31,0,65,30,1,0,31,0,0,1,0,0,0,0,0
EchoVault__EchoVault,cdxgen,30,0,66,30,0,0,30,0,1,30,0,66,30,0,0,30,0,1,0,0,0,0,0,0
EchoVault__EchoVault,cyclonedx-gomod,30,0,66,30,0,0,30,0,1,30,0,66,30,0,0,30,0,1,0,0,0,0,0,0
Edgenesis__shifu,syft,0,167,0,0,167,0,0,167,0,0,167,0,0,167,0,0,167,0,0,0,26,111,29,1
Edgenesis__shifu,trivy,0,138,0,0,138,0,0,138,0,0,138,0,0,138,0,0,138,0,0,0,26,111,0,1
Edgenesis__shifu,cdxgen,0,126,0,0,126,0,0,126,0,0,126,0,0,126,0,0,126,0,0,0,22,104,0,0
EngoEngine__engo,syft,31,0,14,17,14,0,21,10,0,31,0,14,17,14,0,21,10,0,4,1,5,4,0,0
EngoEngine__engo,trivy,31,0,14,17,14,0,21,10,0,31,0,14,17,14,0,21,10,0,4,1,5,4,0,0
EngoEngine__engo,cdxgen,17,0,28,17,0,0,17,0,4,17,0,28,17,0,0,17,0,4,0,0,0,0,0,0
EngoEngine__engo,cyclonedx-gomod,24,0,21,17,7,0,17,7,4,24,0,21,17,7,0,17,7,4,0,1,5,1,0,0
Eun__go-convert,syft,0,6,0,5,1,0,5,1,0,0,6,0,5,1,0,5,1,0,0,0,0,0,1,0
Eun__go-convert,trivy,0,7,0,5,2,0,5,2,0,0,8,0,5,3,0,5,3,0,0,0,0,0,2,0
Eun__go-convert,cdxgen,0,5,0,5,0,0,5,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0
Eun__go-convert,cyclonedx-gomod,0,5,0,5,0,0,5,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0
Eun__go-hit,syft,0,43,0,30,13,0,35,8,0,0,84,0,30,54,0,35,49,0,5,0,0,3,5,0
Eun__go-hit,trivy,0,52,0,30,22,0,35,17,0,0,105,0,30,75,0,35,70,0,5,0,0,3,14,0
Eun__go-hit,cdxgen,0,38,0,30,8,0,35,3,0,0,38,0,30,8,0,35,3,0,5,0,0,3,0,0
Eun__go-hit,cyclonedx-gomod,0,30,0,30,0,0,30,0,5,0,30,0,30,0,0,30,0,5,0,0,0,0,0,0
Evertras__bubble-table,syft,27,0,8,19,8,0,23,4,0,27,0,8,19,8,0,23,4,0,4,0,0,0,4,0
